# Manim CE Cheat Sheet
# Format: qualified_name | short signature | when to use / what it does

## Core Animation Base
manim.mobject.geometry.shape_matchers.BackgroundRectangle | BackgroundRectangle(*mobjects, fill_opacity=0.75) | Placed behind mobjects to make them readable. Good for text over busy backgrounds.
manim.mobject.geometry.shape_matchers.Cross | Cross(mobject) | An X mark over a mobject. Good for marking something as wrong.
manim.mobject.geometry.shape_matchers.Underline | Underline(mobject, buff=0.1) | An underline beneath a mobject. Good for titles or emphasis.

## Graphs
manim.mobject.graph.Graph | Graph(vertices, edges, layout='spring') | An undirected graph. vertices=[1,2,3], edges=[(1,2),(2,3)]. Use layout='circular'/'spring'/'tree'.
manim.mobject.graph.DiGraph | DiGraph(vertices, edges) | A directed graph with arrows on edges.

## Coordinate Systems and Axes
manim.mobject.graphing.coordinate_systems.Axes | Axes(x_range=[-4,4,1], y_range=[-2,2,1], x_length=10) | Creates 2D axes with ticks and labels. Essential for plotting.
manim.mobject.graphing.coordinate_systems.NumberPlane | NumberPlane(x_range=[-7,7,1], y_range=[-4,4,1]) | A cartesian plane with background grid lines. Good for coordinate space visualization.
manim.mobject.graphing.coordinate_systems.PolarPlane | PolarPlane(radius_max=4, radius_step=1) | A polar coordinate plane with radial and azimuthal grid lines.
manim.mobject.graphing.coordinate_systems.ComplexPlane | ComplexPlane() | A NumberPlane for complex numbers. Use plane.n2p(complex_num) to convert.
manim.mobject.graphing.coordinate_systems.ThreeDAxes | ThreeDAxes(x_range=[-6,6,1], y_range=[-5,5,1], z_range=[-4,4,1]) | 3D axes for ThreeDScene.

## Graphing Functions
manim.mobject.graphing.functions.FunctionGraph | FunctionGraph(lambda x: np.sin(x), x_range=[-4,4]) | Plots a function f(x) on existing Axes by passing axes.get_graph(lambda x: ...).
manim.mobject.graphing.functions.ParametricFunction | ParametricFunction(lambda t: [np.cos(t), np.sin(t), 0]) | A parametric curve from a function. Good for circles, spirals, custom curves.

## Number Lines
manim.mobject.graphing.number_line.NumberLine | NumberLine(x_range=[-5,5,1], include_numbers=True) | A horizontal number line with tick marks and optional number labels.
manim.mobject.graphing.number_line.UnitInterval | UnitInterval() | A number line from 0 to 1.

## Charts and Probability
manim.mobject.graphing.probability.BarChart | BarChart(values=[1,2,3], bar_names=['A','B','C']) | A bar chart with customizable bars and colors.

## Matrices
manim.mobject.matrix.Matrix | Matrix([[1,2],[3,4]]) | Displays a matrix with bracket notation. Good for linear algebra.
manim.mobject.matrix.IntegerMatrix | IntegerMatrix([[1,2],[3,4]]) | A matrix with integer entries.
manim.mobject.matrix.DecimalMatrix | DecimalMatrix([[1.5,2.5],[3.5,4.5]]) | A matrix with decimal entries.

## Base Mobjects (essential building blocks)
manim.mobject.mobject.Mobject | Mobject() | The base class for ALL displayable objects. Provides move_to, shift, scale, rotate, set_color, set_opacity, next_to, align_to, etc.
manim.mobject.mobject.Group | Group(*mobjects) | Groups any Mobjects together so you can move/scale/transform them as one.

## SVG and Braces
manim.mobject.svg.brace.Brace | Brace(mobject) | A curly brace adjacent to a mobject. Good for annotating dimensions or ranges.
manim.mobject.svg.brace.BraceLabel | BraceLabel(mobject, "text") | A brace with a label (MathTex default) attached. Good for labeled ranges.
manim.mobject.svg.brace.BraceText | BraceText(mobject, "text") | A brace with a text label (Text default).
manim.mobject.svg.brace.BraceBetweenPoints | BraceBetweenPoints(point1, point2) | A brace between two points.
manim.mobject.svg.svg_mobject.SVGMobject | SVGMobject("file.svg") | Creates a mobject from an SVG file. Good for importing icons or diagrams.

## Tables
manim.mobject.table.Table | Table(data, row_labels=..., col_labels=...) | Displays a table. Good for data presentation.
manim.mobject.table.MathTable | MathTable(data) | A table with MathTex entries.
manim.mobject.table.IntegerTable | IntegerTable(data) | A table with integer entries.
manim.mobject.table.DecimalTable | DecimalTable(data) | A table with decimal entries.

## Text
manim.mobject.text.text_mobject.Text | Text("hello", font_size=48, color=...) | Plain text. Use t2c={"word": RED} to color specific words, t2f for fonts.
manim.mobject.text.text_mobject.MarkupText | MarkupText('<span color="red">text</span>') | Text with Pango markup for advanced styling (colors, bold, italics inline).
manim.mobject.text.text_mobject.Paragraph | Paragraph("line1", "line2") | Multiple lines of text as a paragraph. Good for body text.
manim.mobject.text.tex_mobject.MathTex | MathTex(r"x^2 + y^2 = z^2") | LaTeX math mode. Essential for equations and formulas.
manim.mobject.text.tex_mobject.Tex | Tex(r"\textbf{Bold text}") | LaTeX normal mode. Good for styled non-math text.
manim.mobject.text.tex_mobject.Title | Title("Video Title") | An underlined title at the top of the screen.
manim.mobject.text.tex_mobject.BulletedList | BulletedList("point1", "point2") | A bulleted list with dots. Good for key points.
manim.mobject.text.numbers.DecimalNumber | DecimalNumber(3.14, num_decimal_places=2) | A number display that can be animated (change value, count up).
manim.mobject.text.numbers.Integer | Integer(42) | An integer display.
manim.mobject.text.numbers.Variable | Variable(value, "x") | Shows "label = value" with value updating from a ValueTracker.
manim.mobject.text.code_mobject.Code | Code(code_string="...", language="python") | A highlighted code block. Good for code_walkthrough scenes.

## 3D Shapes
manim.mobject.three_d.three_dimensions.Sphere | Sphere(radius=1, center=ORIGIN) | A 3D sphere. Use in ThreeDScene.
manim.mobject.three_d.three_dimensions.Cube | Cube(side_length=2) | A 3D cube.
manim.mobject.three_d.three_dimensions.Cylinder | Cylinder(radius=1, height=2) | A 3D cylinder.
manim.mobject.three_d.three_dimensions.Cone | Cone(base_radius=1, height=1) | A 3D cone.
manim.mobject.three_d.three_dimensions.Torus | Torus(major_radius=3, minor_radius=1) | A 3D torus (donut shape).
manim.mobject.three_d.three_dimensions.Surface | Surface(func, u_range=[0,1], v_range=[0,1]) | A parametric 3D surface.
manim.mobject.three_d.three_dimensions.Line3D | Line3D(start, end, thickness=0.02) | A 3D line for ThreeDScene.
manim.mobject.three_d.three_dimensions.Arrow3D | Arrow3D(start, end) | A 3D arrow for ThreeDScene.
manim.mobject.three_d.three_dimensions.Dot3D | Dot3D(point) | A 3D dot for ThreeDScene.
manim.mobject.three_d.three_dimensions.Prism | Prism(dimensions=[3,2,1]) | A 3D rectangular prism.
manim.mobject.three_d.polyhedra.Tetrahedron | Tetrahedron(edge_length=1) | A 3D tetrahedron.
manim.mobject.three_d.polyhedra.Octahedron | Octahedron(edge_length=1) | A 3D octahedron.
manim.mobject.three_d.polyhedra.Dodecahedron | Dodecahedron(edge_length=1) | A 3D dodecahedron.
manim.mobject.three_d.polyhedra.Icosahedron | Icosahedron(edge_length=1) | A 3D icosahedron.

## Image and Vectorized Types
manim.mobject.types.image_mobject.ImageMobject | ImageMobject("image.png") | Displays an image from a file or numpy array. Use with picture_slide template.
manim.mobject.types.vectorized_mobject.VMobject | VMobject(fill_color=..., stroke_width=4) | The base for all vectorized shapes. Provides fill, stroke, and smooth curve methods.
manim.mobject.types.vectorized_mobject.VGroup | VGroup(*vmobjects) | A group of vectorized mobjects. Essential for combining shapes and moving them together.
manim.mobject.types.vectorized_mobject.DashedVMobject | DashedVMobject(vmobject, num_dashes=15) | Converts any VMobject to dashed style.

## Value Trackers (for dynamic values)
manim.mobject.value_tracker.ValueTracker | ValueTracker(0) | Tracks a real number that can be animated. Use mobject.add_updater(lambda m: m.set_value(tracker.get_value())) to link.
manim.mobject.value_tracker.ComplexValueTracker | ComplexValueTracker(0) | Tracks a complex number.

## Vector Fields
manim.mobject.vector_field.ArrowVectorField | ArrowVectorField(lambda p: [-p[1], p[0], 0]) | Shows a vector field with arrows. Good for physics/math visualizations.
manim.mobject.vector_field.StreamLines | StreamLines(func, ...) | Shows stream lines of a vector field.
manim.mobject.vector_field.VectorField | VectorField(func) | Base class for vector fields.

## Scenes (canvas types)
manim.scene.scene.Scene | Scene() | The base canvas for animations. Provides play(), add(), wait(), remove(), clear().
manim.scene.three_d_scene.ThreeDScene | ThreeDScene() | A scene with 3D capability. Use set_camera_orientation(phi=60*DEGREES, theta=-45*DEGREES).
manim.scene.moving_camera_scene.MovingCameraScene | MovingCameraScene() | A scene with a moving camera. Use self.camera.frame.animate.move_to(...) to pan/zoom.
manim.scene.vector_space_scene.VectorScene | VectorScene() | A scene with axes and vector helpers.
manim.scene.vector_space_scene.LinearTransformationScene | LinearTransformationScene() | A scene for showing linear transformations of vectors.

## Additional Useful Classes (Niche but available)
manim.animation.changing.AnimatedBoundary | AnimatedBoundary(vmobject, colors=[...], max_stroke_width=3) | An animated boundary of colors around a mobject. Decorative border effect.
manim.animation.specialized.Broadcast | Broadcast(mobject) | Broadcasts a mobject from a small size to full size. Good for spreading effects.
manim.animation.speedmodifier.ChangeSpeed | ChangeSpeed(animation, speedinfo=...) | Changes the speed of another animation at specific times.
manim.animation.transform.ApplyComplexFunction | ApplyComplexFunction(function, mobject) | Applies a complex function to a mobject's points. Advanced morphing.
manim.animation.transform.ApplyPointwiseFunctionToCenter | ApplyPointwiseFunctionToCenter(function, mobject) | Applies a function to the center of a mobject.
manim.animation.transform_matching_parts.TransformMatchingAbstractBase | TransformMatchingAbstractBase(...) | Abstract base for TransformMatchingShapes and TransformMatchingTex.
manim.animation.updaters.update.MaintainPositionRelativeTo | MaintainPositionRelativeTo(mobject, target) | Keeps a mobject in the same relative position to a target mobject.
manim.animation.updaters.update.UpdateFromAlphaFunc | UpdateFromAlphaFunc(mobject, func) | Updates a mobject using a function of the animation progress (alpha).
manim.camera.mapping_camera.MappingCamera | MappingCamera(mapping_func=...) | A camera that maps 3D points to custom positions. Advanced camera effects.
manim.camera.mapping_camera.SplitScreenCamera | SplitScreenCamera(left, right) | Splits the screen between two cameras. Good for side-by-side views.
manim.camera.multi_camera.MultiCamera | MultiCamera(...) | A camera supporting multiple perspectives simultaneously.
manim.mobject.geometry.arc.ArcPolygonFromArcs | ArcPolygonFromArcs(*arcs) | A polygon built from pre-existing arc mobjects.
manim.mobject.geometry.arc.CurvedDoubleArrow | CurvedDoubleArrow(start, end) | A curved arrow with tips on both ends.
manim.mobject.geometry.arc.TangentialArc | TangentialArc(line1, line2, radius) | An arc tangent to two intersecting lines. Good for fillets and rounded corners.
manim.mobject.geometry.boolean_ops.Exclusion | Exclusion(subject, clip) | The XOR of two shapes. Keeps the non-overlapping areas.
manim.mobject.geometry.labeled.LabeledPolygram | LabeledPolygram(*vertices, label=...) | A polygram with a label at its center.
manim.mobject.geometry.line.Elbow | Elbow(width=0.2) | An L-shaped right angle bracket. Good for corner markers.
manim.mobject.geometry.tips.ArrowTip | ArrowTip(...) | Base class for all arrow tip shapes.
manim.mobject.geometry.tips.ArrowTriangleTip | ArrowTriangleTip(length=0.35) | A triangular (unfilled) arrow tip.
manim.mobject.geometry.tips.ArrowTriangleFilledTip | ArrowTriangleFilledTip(length=0.35) | A filled triangular arrow tip. This is the default Manim arrow tip.
manim.mobject.geometry.tips.ArrowCircleTip | ArrowCircleTip(length=0.35) | A circular arrow tip.
manim.mobject.geometry.tips.ArrowCircleFilledTip | ArrowCircleFilledTip(length=0.35) | A filled circular arrow tip.
manim.mobject.geometry.tips.ArrowSquareTip | ArrowSquareTip(length=0.35) | A square-shaped arrow tip.
manim.mobject.geometry.tips.ArrowSquareFilledTip | ArrowSquareFilledTip(length=0.35) | A filled square arrow tip.
manim.mobject.geometry.tips.StealthTip | StealthTip(length=0.175) | A stealth-fighter shaped arrow tip.
manim.mobject.graph.GenericGraph | GenericGraph(vertices, edges, ...) | Abstract base class for Graph and DiGraph.
manim.mobject.graphing.coordinate_systems.CoordinateSystem | CoordinateSystem(...) | Abstract base for Axes and NumberPlane. Provides coords_to_point and point_to_coords.
manim.mobject.graphing.functions.ImplicitFunction | ImplicitFunction(func, x_range=..., y_range=...) | Plots an implicit function of the form f(x,y)=0.
manim.mobject.graphing.probability.SampleSpace | SampleSpace(height=3, width=3) | A rectangular sample space box. Good for probability diagrams.
manim.mobject.graphing.scale.LinearBase | LinearBase(scale_factor=1.0) | Linear scaling for axes. Used when creating custom scales.
manim.mobject.graphing.scale.LogBase | LogBase(base=10) | Logarithmic scaling for axes.
manim.mobject.matrix.MobjectMatrix | MobjectMatrix(matrix) | A matrix whose entries are arbitrary mobjects.
manim.mobject.svg.brace.ArcBrace | ArcBrace(arc) | A brace that wraps around an arc. Good for angle annotations.
manim.mobject.svg.svg_mobject.VMobjectFromSVGPath | VMobjectFromSVGPath(path_obj) | Creates a VMobject from an SVG path string.
manim.mobject.table.MobjectTable | MobjectTable(table) | A table whose entries are mobjects.
manim.mobject.text.tex_mobject.SingleStringMathTex | SingleStringMathTex(tex_string) | A single LaTeX string mobject. Lower-level than MathTex.
manim.mobject.text.typst_mobject.Typst | Typst(typst_code) | Renders text using the Typst typesetting system.
manim.mobject.text.typst_mobject.MathTypst | MathTypst(expression) | Renders math using Typst's math syntax.
manim.mobject.three_d.polyhedra.Polyhedron | Polyhedron(vertex_coords, faces_list) | An abstract polyhedron base class. Good for custom 3D shapes.
manim.mobject.three_d.polyhedra.ConvexHull3D | ConvexHull3D(*points) | The 3D convex hull of a set of points.
manim.mobject.three_d.three_dimensions.ThreeDVMobject | ThreeDVMobject(shade_in_3d=True) | A VMobject that supports 3D shading in ThreeDScene.
manim.mobject.types.image_mobject.AbstractImageMobject | AbstractImageMobject(...) | Abstract base for image mobjects.
manim.mobject.types.point_cloud_mobject.PMobject | PMobject(stroke_width=4) | A mobject composed of points. Base for point cloud shapes.
manim.mobject.types.point_cloud_mobject.Mobject1D | Mobject1D(density=10) | A 1D point cloud mobject (a curve made of points).
manim.mobject.types.point_cloud_mobject.Mobject2D | Mobject2D(density=25) | A 2D point cloud mobject (an area made of points).
manim.mobject.types.point_cloud_mobject.PGroup | PGroup(*pmobs) | A group of point cloud mobjects.
manim.mobject.types.point_cloud_mobject.Point | Point(location=ORIGIN) | A single point mobject.
manim.mobject.types.point_cloud_mobject.PointCloudDot | PointCloudDot(center=ORIGIN, radius=2) | A disc made of a cloud of dots. Good for particle effects.
manim.mobject.types.vectorized_mobject.VDict | VDict(mapping) | A dictionary that holds named VMobjects for easy access.
manim.mobject.types.vectorized_mobject.CurvesAsSubmobjects | CurvesAsSubmobjects(vmobject) | Splits a VMobject so each curve is a separate submobject. Good for per-curve coloring.
manim.mobject.types.vectorized_mobject.VectorizedPoint | VectorizedPoint(location=ORIGIN) | A point represented as a VMobject. Good for invisible anchor points.
manim.scene.three_d_scene.SpecialThreeDScene | SpecialThreeDScene(...) | A ThreeDScene with extra convenience settings (axes, sphere, camera orientations).
manim.scene.zoomed_scene.ZoomedScene | ZoomedScene(...) | A scene with a zoomed-in display window showing a magnified section.
